title,genre,year,rating,votes,director,duration_min,country,box_office_million
Finding Nemo,Romance,2013,5.2,2057058,Ridley Scott,186,India,2147.42
Spider-Man: No Way Home,Fantasy,1989,7.6,4541688,Denis Villeneuve,127,India,2524.88
Django Unchained,Horror,1994,7.8,2561423,Patty Jenkins,103,USA,1997.4
Justice League,Action,2011,7.3,4166594,Christopher Nolan,82,UK,1669.55
The Exorcist,Adventure,2002,5.8,3514293,Patty Jenkins,200,France,2096.03
The Hunger Games,Horror,1988,9.2,4088612,Ridley Scott,182,Canada,995.89
Venom,Action,1986,8.4,712708,Robert Zemeckis,129,Canada,1565.16
Oppenheimer,Sci-Fi,2016,9.7,278652,Ridley Scott,90,Australia,405.16
Justice League,Sci-Fi,1982,5.7,95817,Tim Burton,115,Japan,183.79
Logan,Thriller,2007,9.4,3945967,Ryan Coogler,127,Canada,2154.12
The Godfather,Fantasy,1995,5.3,1758135,Martin Scorsese,204,France,804.51
Venom,Thriller,1982,5.3,809614,Robert Zemeckis,80,Australia,2314.34
Dune,Romance,2022,5.3,4541963,Tim Burton,134,Canada,172.7
A Quiet Place,Comedy,2004,7,3039003,Tim Burton,186,Canada,669.81
The Shawshank Redemption,Adventure,2007,9.2,1452350,Denis Villeneuve,109,India,1668.16
Big Hero 6,Thriller,1985,8.9,1515823,Peter Jackson,144,Japan,1943.54
Inglourious Basterds,Romance,1994,5.5,3538918,Steven Spielberg,169,Australia,732.28
Fight Club,Horror,2000,6.4,1967626,Quentin Tarantino,134,India,1949
A Quiet Place,Horror,1985,5.9,2201191,Quentin Tarantino,97,USA,1900.96
Maze Runner,Sci-Fi,2003,9.2,2812212,James Cameron,150,Australia,2298.06
Titanic,Romance,2008,6.5,2577247,Peter Jackson,139,India,227.5
Divergent,Animation,2013,8.2,4711658,Peter Jackson,175,India,768.71
Tenet,Sci-Fi,2021,8.4,2585243,Peter Jackson,104,South Korea,230.38
It Chapter Two,Sci-Fi,2023,4.7,4736156,Christopher Nolan,117,Spain,2359.21
"Monsters, Inc.",Drama,1982,6.3,1819592,James Cameron,82,Japan,896.32
La La Land,Drama,2003,7.9,2319073,Ridley Scott,171,India,2339.86
Iron Man,Adventure,2022,8.1,2137187,Tim Burton,185,UK,1526.7
The Prestige,Animation,1988,7.6,816201,Peter Jackson,162,India,406.24
Dune,Action,1987,9,835548,Martin Scorsese,192,Germany,2311.09
Aquaman 2,Action,2011,6.9,4801367,James Cameron,97,France,171.97
Arrival,Comedy,2009,7.8,208344,Patty Jenkins,142,South Korea,1325.22
Maze Runner,Animation,2020,8.7,4965471,James Cameron,166,UK,1247
The Departed,Sci-Fi,2003,5.9,352225,Robert Zemeckis,127,India,274.1
Guardians of the Galaxy,Sci-Fi,1990,4.8,1982127,Quentin Tarantino,190,UK,836.26
Pulp Fiction,Horror,1991,7.8,3691989,James Cameron,114,South Korea,2763.32
Spider-Man: No Way Home,Thriller,1996,6.8,3382420,Greta Gerwig,207,Germany,1869.47
Man of Steel,Fantasy,1983,4.5,3677637,Patty Jenkins,178,India,1232.92
Man of Steel,Animation,1993,8.4,342086,Sam Raimi,182,Canada,414.82
"Monsters, Inc.",Comedy,2007,9.5,3249002,Zack Snyder,92,Japan,169.94
Barbie,Comedy,2012,7.7,527780,Greta Gerwig,176,France,1827.28
Joker,Fantasy,1986,7.2,4741869,Christopher Nolan,133,Japan,2227.62
Zootopia,Romance,2012,8.4,2240465,Zack Snyder,169,Japan,1202.31
The Matrix,Horror,2011,6.5,4308739,Denis Villeneuve,118,France,300.29
The Exorcist,Comedy,2023,6,2452089,James Cameron,141,Canada,928.09
Ratatouille,Fantasy,2000,9.7,1483320,Ryan Coogler,192,Australia,2550.68
The Hunger Games,Fantasy,1993,9.2,1868394,Robert Zemeckis,138,USA,1642.84
Parasite,Sci-Fi,2014,6.2,2436893,Ridley Scott,158,South Korea,1219.82
X-Men: Days of Future Past,Comedy,1986,6.7,2235736,James Cameron,118,Canada,317.49
Deadpool,Horror,1997,7.8,2302188,Patty Jenkins,174,USA,533.17
Zootopia,Sci-Fi,2006,5,4074953,Steven Spielberg,202,Canada,1732.58
Wall-E,Sci-Fi,2013,8.8,348660,Steven Spielberg,155,USA,2523.01
Blade Runner 2049,Animation,2004,7.5,42408,Ryan Coogler,96,UK,670.27
Deadpool,Sci-Fi,1994,7.6,3099223,Steven Spielberg,210,South Korea,1825.28
The Flash,Adventure,2002,6.1,2955128,Robert Zemeckis,153,South Korea,742.42
Interstellar,Fantasy,1989,8.1,2467422,Patty Jenkins,134,Canada,1085.98
Justice League,Animation,2005,5.1,2614350,Quentin Tarantino,112,South Korea,453.11
The Prestige,Romance,1991,9.6,4921096,James Cameron,175,UK,933.98
The Batman,Adventure,1990,5.3,4880419,Robert Zemeckis,95,USA,2155.88
The Hunger Games,Comedy,1992,5.1,2444686,Martin Scorsese,163,Japan,2050.09
Oppenheimer,Action,2023,5.6,1379382,Denis Villeneuve,118,France,1873.89
The Incredibles,Sci-Fi,2006,9,4973290,Greta Gerwig,195,Germany,302.79
"Monsters, Inc.",Action,2019,9.1,4490026,Zack Snyder,132,Japan,572.27
Dune,Romance,2020,7.1,4073923,Christopher Nolan,177,UK,2170.03
The Irishman,Romance,2020,9.6,2367711,James Cameron,196,UK,2512.93
Hereditary,Drama,1991,5.8,2951311,Greta Gerwig,114,UK,1987.06
It Chapter Two,Adventure,2007,9.8,604574,Martin Scorsese,94,Australia,2268.17
Twilight,Fantasy,2017,7.5,217411,Patty Jenkins,194,Spain,661.41
The Prestige,Animation,2018,9.1,4005466,Peter Jackson,87,Australia,795.74
The Matrix,Animation,2017,6.9,3851676,Ryan Coogler,129,USA,1917.95
Up,Adventure,1980,8.4,3698362,Tim Burton,145,France,160.82
Catch Me If You Can,Drama,2011,7.8,1597269,James Cameron,116,India,2081.78
The Social Network,Adventure,2008,6,2574547,Patty Jenkins,184,USA,774.72
Birdman,Adventure,2003,7.7,2079319,Robert Zemeckis,195,France,2744.81
Zootopia,Horror,1981,9.2,4808134,Tim Burton,204,South Korea,1284.8
Wall-E,Adventure,2008,6.7,3247370,Denis Villeneuve,161,Canada,1333.33
Aquaman,Action,1988,7.2,4919907,Christopher Nolan,184,South Korea,1204.07
Doctor Strange: Multiverse of Madness,Animation,2001,5.5,2990294,Zack Snyder,194,France,2267.4
Schindler's List,Animation,2012,7.9,1649168,Tim Burton,97,UK,672.85
Doctor Strange,Animation,2023,9.7,2948251,James Cameron,122,Canada,970.61
Up,Thriller,2009,5.1,3626708,Denis Villeneuve,173,Canada,1857.68
Us,Adventure,2017,8.4,4163042,Christopher Nolan,120,USA,67.41
Deadpool,Thriller,2000,6.6,209032,Martin Scorsese,195,Germany,2532.58
Dune,Drama,2006,6.2,3017990,Quentin Tarantino,129,India,2703.13
Parasite,Horror,2002,6,2984545,James Cameron,182,Germany,603.69
The Exorcist,Drama,2011,6.5,3700592,Martin Scorsese,123,India,1195.4
The Irishman,Animation,1990,7.6,4970798,Steven Spielberg,194,Japan,961.03
Kung Fu Panda,Horror,2007,5.9,4924370,Peter Jackson,81,Australia,1194.92
Coco,Fantasy,2018,9.5,3398398,Peter Jackson,197,Spain,2634.59
Ant-Man,Thriller,1999,7.5,1198892,Martin Scorsese,89,Australia,89.31
The Hunger Games,Fantasy,2023,5.5,596044,Greta Gerwig,172,Japan,737.6
Titanic,Action,1995,7.5,2749400,Denis Villeneuve,82,Spain,2324.97
Parasite,Horror,2001,8.1,1001002,Christopher Nolan,82,USA,1517.22
Venom,Comedy,1994,5.9,218698,Martin Scorsese,208,Japan,1452.87
Coco,Thriller,1980,9,954538,Greta Gerwig,139,France,67.25
Hereditary,Romance,1980,6.3,4776518,Steven Spielberg,171,Japan,1427.99
Captain America: Civil War,Action,1996,9.3,2377373,Steven Spielberg,106,Germany,509.63
Divergent,Romance,1987,6.4,2785386,Robert Zemeckis,91,Spain,1094.46
Get Out,Drama,1996,4.7,2678008,Quentin Tarantino,148,Spain,1928
Zootopia,Sci-Fi,1982,8.8,1214680,Denis Villeneuve,140,Australia,1049.35
Zootopia,Comedy,2005,8.5,2930161,Denis Villeneuve,101,UK,1889.74
Up,Fantasy,2001,5.5,4041114,Ryan Coogler,168,Japan,1214.21
Wall-E,Thriller,1992,6.5,4656942,Greta Gerwig,206,Germany,476.95
The Incredibles,Drama,2016,6,2890412,Steven Spielberg,150,South Korea,1358.02
Hereditary,Adventure,2015,5.7,1242748,James Cameron,127,Japan,1151.51
Superman,Action,1989,6.1,2373747,James Cameron,133,USA,1637.15
Blade Runner 2049,Thriller,1986,6.8,1826195,Greta Gerwig,104,USA,1642.69
Saving Private Ryan,Animation,2009,6.8,975872,Greta Gerwig,138,South Korea,1539.39
The Lion King,Drama,1984,9.1,2261712,Ridley Scott,154,Japan,2563.61
Captain America: Civil War,Romance,2009,4.8,2705536,Quentin Tarantino,84,South Korea,1799.21
The Conjuring,Animation,1996,6.8,833621,Steven Spielberg,108,Germany,2145
Us,Horror,2000,8.8,587059,Quentin Tarantino,101,South Korea,2779.44
Whiplash,Thriller,1997,5.2,1387135,Patty Jenkins,193,Japan,802.68
Shutter Island,Animation,1991,5.3,409195,Steven Spielberg,118,UK,2090.59
The Suicide Squad,Romance,2019,6.6,3968317,Denis Villeneuve,187,Japan,1631.45
Inception,Adventure,2014,5.2,211622,Denis Villeneuve,180,UK,678.9
The Exorcist,Animation,2014,8.7,71820,Steven Spielberg,126,Australia,1051.25
Justice League,Drama,2021,9.3,1887500,Tim Burton,145,Spain,1791.89
Hereditary,Comedy,1988,9.1,3587218,Greta Gerwig,194,Australia,1398.56
The Social Network,Animation,2008,5.2,2689955,Quentin Tarantino,92,Germany,1446.43
The Batman,Action,1989,5.7,3235985,Ryan Coogler,175,South Korea,772.82
The Batman,Romance,1997,7.5,1664080,Steven Spielberg,192,South Korea,2340.89
The Irishman,Fantasy,1980,5.9,1538356,Peter Jackson,192,India,402.85
It,Thriller,1997,7.3,1636108,Greta Gerwig,209,Canada,1699.02
Moana,Comedy,2009,5.5,4227201,James Cameron,160,UK,785.21
Superman,Romance,2015,8.8,1166876,Denis Villeneuve,153,USA,1354.49
12 Years a Slave,Adventure,2022,5.4,3890100,Tim Burton,200,South Korea,284.64
Black Panther,Horror,2003,5.9,4961317,Zack Snyder,152,France,349.14
Doctor Strange: Multiverse of Madness,Fantasy,2008,8.8,4341274,James Cameron,192,Japan,1165.32
Justice League,Sci-Fi,2011,6.4,970763,Ryan Coogler,119,Canada,1395.74
Iron Man,Adventure,1991,6.7,817009,Zack Snyder,196,Canada,1315.37
The Exorcist,Thriller,1998,7.6,4712223,Denis Villeneuve,112,India,1768.1
Joker,Romance,2018,8.9,232548,Martin Scorsese,196,Canada,1242.24
Doctor Strange: Multiverse of Madness,Animation,1997,6.5,4070089,James Cameron,108,Germany,2180.62
Fight Club,Thriller,1987,5.5,4628523,James Cameron,115,USA,315.12
Ratatouille,Fantasy,1993,9,21064,Martin Scorsese,186,Spain,298.32
Moana,Fantasy,2003,9.2,2509913,Zack Snyder,196,Canada,2456.85
Man of Steel,Adventure,1992,5.6,1627003,Martin Scorsese,111,Germany,2276.03
Maze Runner,Adventure,2015,9.1,213832,Greta Gerwig,194,USA,250.56
Oppenheimer,Fantasy,1993,8.3,2976421,Steven Spielberg,142,Spain,1672.25
Arrival,Drama,1998,8.2,4914771,Christopher Nolan,86,Germany,903.94
Gladiator,Action,2002,8.4,4708832,Patty Jenkins,126,Spain,2322.67
Forrest Gump,Adventure,2013,4.8,906199,Denis Villeneuve,102,UK,2307.87
The Revenant,Animation,2014,8.8,3962066,Patty Jenkins,162,UK,2254.9
Captain America: Civil War,Animation,2001,7.3,1061651,Martin Scorsese,133,France,2266.38
Us,Comedy,2009,6.8,2862453,Ryan Coogler,132,South Korea,1878.68
The Godfather,Adventure,1997,9.6,2063007,Steven Spielberg,124,Canada,246.28
12 Years a Slave,Thriller,2001,7.7,603039,Denis Villeneuve,122,USA,2577.39
The Suicide Squad,Horror,2014,9.6,72761,Steven Spielberg,203,UK,2388.91
Shrek,Animation,1982,6.3,4905567,Christopher Nolan,145,Germany,1622.45
Get Out,Adventure,1983,8.9,2913051,Ryan Coogler,122,Australia,90.1
Parasite,Sci-Fi,1989,6.2,366513,Zack Snyder,188,India,1748.23
Tenet,Sci-Fi,1992,8.4,155401,Ridley Scott,174,Japan,1681.68
Inception,Romance,2007,9.7,1493461,Robert Zemeckis,125,South Korea,1439.27
The Exorcist,Adventure,2021,5.6,2135527,Steven Spielberg,136,Spain,241.31
Inside Out,Fantasy,1991,7.5,4621308,Martin Scorsese,202,USA,1321
Schindler's List,Action,2001,7.6,473056,James Cameron,107,UK,945.37
12 Years a Slave,Horror,2008,7.2,4188586,Tim Burton,191,Canada,1770.76
Schindler's List,Animation,2007,5.7,2747526,Greta Gerwig,195,Spain,2160.75
Venom,Thriller,2001,6.9,1728357,Patty Jenkins,93,Canada,286.77
Memento,Adventure,2012,6.2,867611,Steven Spielberg,154,South Korea,1275.74
The Irishman,Romance,2003,5.3,3424398,Zack Snyder,113,France,267.66
Interstellar,Thriller,1991,5.9,1788624,Greta Gerwig,129,India,1651.54
Doctor Strange: Multiverse of Madness,Drama,1993,9.3,3705521,Greta Gerwig,204,USA,1711.65
The Ring,Drama,2007,5.7,3194266,Patty Jenkins,147,Spain,1924.38
Man of Steel,Action,2002,8,3972579,Denis Villeneuve,133,UK,583.8
Arrival,Horror,1996,8.9,4460777,Denis Villeneuve,136,South Korea,2757.71
Django Unchained,Sci-Fi,1981,6.9,2385189,Zack Snyder,164,Germany,1442.06
Dunkirk,Animation,2014,4.9,1633701,Quentin Tarantino,103,South Korea,1436.91
Toy Story,Adventure,1989,7.1,873923,Ryan Coogler,103,Germany,2172.93
Ratatouille,Thriller,2006,9.1,2256497,Steven Spielberg,106,UK,1891.64
"Monsters, Inc.",Thriller,1993,7.6,4847461,Christopher Nolan,104,Australia,1043.15
Shang-Chi,Romance,2012,6.9,4455621,Martin Scorsese,140,USA,1889.07
Avengers: Endgame,Adventure,2007,6.2,4385348,Denis Villeneuve,123,France,2443.67
Forrest Gump,Adventure,1993,4.8,2966999,Christopher Nolan,185,Germany,1228.39
Barbie,Animation,1997,8.7,394677,Patty Jenkins,167,Japan,1856.6
Oppenheimer,Drama,1994,8.4,2442385,Martin Scorsese,183,USA,928.97
Frozen,Action,2020,6.5,4331974,Peter Jackson,182,South Korea,1712.52
Thor: Ragnarok,Comedy,1984,9,4566729,Robert Zemeckis,87,Canada,825.34
Interstellar,Adventure,2017,5.5,485503,Peter Jackson,174,South Korea,556.61
Dune,Horror,2021,4.8,3872157,James Cameron,152,Germany,208.69
Catch Me If You Can,Fantasy,1983,4.8,4749331,Christopher Nolan,103,Spain,1782.07
Zootopia,Animation,2009,6.5,4446711,Christopher Nolan,178,Spain,1935.15
The Suicide Squad,Sci-Fi,1990,8.6,702256,Robert Zemeckis,179,Canada,318.75
Captain America: Civil War,Adventure,1984,5.8,2038152,Patty Jenkins,192,India,1024.12
Get Out,Drama,1993,6.4,4845288,Quentin Tarantino,187,UK,522.49
Wall-E,Action,1987,6.9,3843938,Ridley Scott,164,South Korea,2163.56
Doctor Strange: Multiverse of Madness,Animation,1989,5.2,1219324,Ridley Scott,134,Japan,131.12
Twilight,Horror,2000,5.8,2478658,Greta Gerwig,114,Canada,933.49
Ant-Man,Animation,2020,9.2,2931988,Robert Zemeckis,110,Canada,2292.43
Avengers: Endgame,Adventure,2022,8.5,3229649,Greta Gerwig,115,Japan,1289.3
The Flash,Fantasy,2009,8.2,4628323,Greta Gerwig,198,South Korea,568.81
The Matrix,Animation,1981,5.8,3658365,Quentin Tarantino,164,USA,1648.84
Soul,Drama,2017,6.9,1379356,Ridley Scott,111,Germany,130.83
A Quiet Place,Animation,2007,8.4,2314021,Tim Burton,148,India,254.9
Titanic,Thriller,2016,7.1,1033507,Sam Raimi,104,Australia,1015.69
Frozen II,Romance,1991,6.6,1707442,Greta Gerwig,149,UK,1072.98
Parasite,Romance,1990,8.6,3407257,Tim Burton,158,Spain,2412.54
Blue Beetle,Action,1991,6.4,4486638,Zack Snyder,179,UK,1878.64
Avengers: Endgame,Fantasy,1991,6.1,2368909,Steven Spielberg,208,Australia,574.6
Interstellar,Thriller,1984,6.9,3683371,Greta Gerwig,150,Japan,1442.81
Luca,Romance,2011,6.2,3707206,Denis Villeneuve,166,USA,1026.74
The Incredibles,Drama,2008,5.8,610548,Sam Raimi,124,South Korea,303.09
Tenet,Comedy,2009,6.8,4949725,Sam Raimi,176,Australia,2280.04
Shutter Island,Thriller,1983,8.2,3505207,Denis Villeneuve,208,Australia,1031.82
Moana,Adventure,2020,5.1,1530260,Steven Spielberg,120,USA,1818.76
Forrest Gump,Animation,2001,7.7,551524,Sam Raimi,159,USA,388.81
Tenet,Fantasy,1999,8,1365034,Patty Jenkins,186,France,384.38
Iron Man,Thriller,1997,9.8,1969981,James Cameron,174,South Korea,2419.45
Saving Private Ryan,Romance,1980,5.4,2808843,Christopher Nolan,183,India,1451.33
La La Land,Fantasy,2013,5.6,82765,Ridley Scott,160,India,2244.15
It,Sci-Fi,2016,5.6,4759073,Greta Gerwig,182,France,1390.3
X-Men: Days of Future Past,Drama,1994,5.1,3182024,Martin Scorsese,140,UK,944.52
Eternals,Fantasy,1987,9.5,895332,Tim Burton,115,USA,1500.52
Zootopia,Romance,2016,9.6,4910382,Denis Villeneuve,189,France,1352.11
Superman,Sci-Fi,1988,8.4,3043913,Ryan Coogler,139,Australia,1580.82
Hereditary,Comedy,1981,4.5,129598,Patty Jenkins,88,Australia,71.53
Tenet,Adventure,1993,6.6,3193819,Ryan Coogler,126,Australia,263.67
Fight Club,Adventure,2010,6.6,2153730,Christopher Nolan,108,France,2407.82
"Monsters, Inc.",Action,2012,8.2,2664115,James Cameron,88,USA,1732.63
Toy Story,Comedy,1986,8.6,1446300,Sam Raimi,192,Japan,1407.01
Zootopia,Adventure,1989,5,102928,Sam Raimi,143,Japan,465.35
The Lion King,Sci-Fi,1995,9.3,1864643,Denis Villeneuve,138,Germany,1137.1
Pulp Fiction,Action,2003,6.9,3278971,James Cameron,190,Canada,1014.82
Doctor Strange,Action,1991,6.9,4832810,Patty Jenkins,210,UK,2139.85
The Departed,Horror,1983,7.8,4328295,Robert Zemeckis,195,Canada,1038.22
The Batman,Thriller,1996,5.7,4830559,Quentin Tarantino,143,Germany,2511.36
Birdman,Comedy,2008,7.3,696187,James Cameron,125,UK,104.62
Luca,Drama,2008,7.6,3036611,Peter Jackson,209,Spain,747.9
Doctor Strange: Multiverse of Madness,Romance,2018,5.5,3710702,Denis Villeneuve,84,UK,39.32
The Matrix,Fantasy,1991,7.7,3601517,Martin Scorsese,120,Spain,1490.55
Black Panther,Sci-Fi,1993,8.7,1891689,James Cameron,127,India,1227.12
Iron Man,Romance,1994,9.2,2050185,James Cameron,90,Japan,1629.67
Pulp Fiction,Sci-Fi,1994,9.4,4433582,Greta Gerwig,158,Japan,1776.68
Thor: Love and Thunder,Horror,2023,5.4,3666384,Greta Gerwig,198,South Korea,855.99
Joker,Sci-Fi,1985,8.2,1766427,James Cameron,92,Spain,567.43
Spider-Man: No Way Home,Comedy,1980,5.6,1267604,Peter Jackson,158,Canada,2209.49
Twilight,Comedy,1981,6.6,4590529,Zack Snyder,140,Australia,1348.37
Deadpool,Fantasy,2018,9.4,4685101,Martin Scorsese,92,Australia,1937.65
Memento,Horror,1990,9.6,4835575,Ryan Coogler,193,Canada,2434.58
Blue Beetle,Fantasy,1987,9.6,1469538,Quentin Tarantino,138,France,2626.07
The Departed,Drama,1985,8.5,1544345,Steven Spielberg,126,Germany,897.73
"Monsters, Inc.",Fantasy,1984,6,1977289,Peter Jackson,172,UK,691.94
Parasite,Fantasy,1989,8.1,2872584,Patty Jenkins,152,Germany,1647.94
Get Out,Adventure,1985,4.6,3138766,Tim Burton,136,Australia,387.27
Inception,Comedy,1988,5.7,361352,Steven Spielberg,118,Spain,1240.26
Mad Max: Fury Road,Fantasy,1982,9.4,2019386,Zack Snyder,204,Canada,451.74
The Suicide Squad,Drama,1989,6.2,2043568,Quentin Tarantino,189,Canada,2478.61
Aquaman 2,Action,1999,5.2,3052022,Tim Burton,159,Japan,1504.8
Goodfellas,Fantasy,1991,8.4,2314317,Sam Raimi,155,USA,35.87
The Conjuring,Fantasy,2008,5.2,1982818,Greta Gerwig,83,UK,1176.23
Divergent,Fantasy,2011,5.5,1038758,Patty Jenkins,209,USA,411.57
The Social Network,Drama,2009,6.3,4846904,Ridley Scott,110,Germany,1965.67
Brave,Fantasy,1988,7.7,2160422,Steven Spielberg,110,South Korea,98.99
Gladiator,Thriller,2011,6,1087513,Robert Zemeckis,135,Canada,555.59
Shrek,Action,1982,8.5,4298048,Sam Raimi,87,Spain,758.1
Schindler's List,Animation,2013,9.2,3150216,Christopher Nolan,148,Spain,2000.9
The Suicide Squad,Sci-Fi,1985,5.6,3364184,Greta Gerwig,90,Canada,978.58
Ant-Man,Fantasy,2011,9.1,3696301,Robert Zemeckis,120,Spain,333.37
Saving Private Ryan,Action,2001,7.5,2899637,Quentin Tarantino,132,USA,1948.05
Brave,Adventure,2020,9.1,4754767,Patty Jenkins,163,UK,2184.15
Parasite,Sci-Fi,2020,7.2,447497,Robert Zemeckis,99,Japan,2796.85
Joker,Action,1986,5.9,1400874,Steven Spielberg,182,USA,897.93
Venom,Horror,2016,6.8,4599905,Peter Jackson,119,USA,1984.15
Barbie,Comedy,1983,5.3,2406889,Ridley Scott,126,USA,1815.9
Superman,Adventure,1983,7.9,1289020,Tim Burton,171,Japan,1406.5
Pulp Fiction,Sci-Fi,1996,7.8,1410797,Quentin Tarantino,96,Germany,1763.79
Titanic,Adventure,2022,4.7,899466,Peter Jackson,100,India,469.46
Frozen II,Action,1995,5.9,4312822,Sam Raimi,206,Canada,2443.26
Inside Out,Adventure,1980,7.3,4813211,Zack Snyder,172,UK,510.61
Thor: Ragnarok,Horror,1996,6.8,4366450,Denis Villeneuve,167,Germany,2198.94
Fight Club,Romance,1994,8.1,1966641,Greta Gerwig,184,South Korea,2538.59
Deadpool,Fantasy,2013,8.4,808066,Zack Snyder,104,Japan,1045.16
Twilight,Animation,2005,5.9,1466165,Peter Jackson,209,India,2323.08
Schindler's List,Sci-Fi,2008,4.9,3709983,James Cameron,124,Canada,1801.6
Guardians of the Galaxy,Drama,2021,5.2,3953401,Christopher Nolan,181,France,2747.9
Divergent,Horror,2008,5.7,4695856,Zack Snyder,133,South Korea,1676.87
Barbie,Adventure,2004,6.4,3138037,Denis Villeneuve,97,Canada,2121.98
Justice League,Adventure,2011,9,1919713,Ridley Scott,182,Canada,165.86
Get Out,Romance,1998,6.3,1150440,Denis Villeneuve,187,South Korea,2761.12
Eternals,Horror,1987,6.3,2898093,Robert Zemeckis,201,UK,1357.81
"Monsters, Inc.",Thriller,2011,5.8,4198656,Martin Scorsese,210,UK,2610.52
The Lion King,Drama,1995,9.7,3387137,Steven Spielberg,126,South Korea,514.02
Wonder Woman,Action,2015,9,1745421,Christopher Nolan,177,Canada,2117.72
Saving Private Ryan,Drama,2018,6.9,4629014,Zack Snyder,137,UK,2587.72
Tenet,Fantasy,2002,8.3,2486510,Robert Zemeckis,209,Germany,44.14
It,Action,1989,7.3,3608581,Patty Jenkins,205,Japan,1992.26
Forrest Gump,Thriller,2000,4.8,3915790,Christopher Nolan,153,Germany,849.52
Forrest Gump,Animation,2008,5,1729873,Steven Spielberg,188,USA,463.08
Venom,Romance,1983,9.5,3663326,Sam Raimi,99,Japan,724.9
Memento,Horror,1991,5.7,3089902,Tim Burton,95,Australia,2048.16
Hereditary,Fantasy,1995,8.3,2817935,Zack Snyder,97,Germany,2066.06
Shutter Island,Horror,2003,8.7,1397699,Patty Jenkins,165,Spain,211.01
Saving Private Ryan,Animation,2010,6,2491317,Greta Gerwig,207,USA,3.86
The Matrix,Comedy,2003,7.1,1531735,Patty Jenkins,200,Canada,207.6
Whiplash,Thriller,1990,5.9,4629234,James Cameron,167,UK,563.89
